<Taxa>	Q1	Q2	Q3
HM001	0.983	0	0.017
HM002	0.993	0.007	0
HM003	0	1	0
HM004	0.914	0.086	0
HM005	1	0	0
HM006	0.918	0.004	0.077
HM007	0.707	0.293	0
HM008	0.469	0.531	0
HM009	0.985	0	0.015
HM010	1	0	0
HM011	0.12	0.88	0
HM012	0	0.869	0.13
HM013	0.126	0.874	0
HM014	0.931	0.069	0
HM015	0.89	0.11	0
HM016	0.957	0	0.043
HM019	0.998	0	0.002
HM020	1	0	0
HM021	1	0	0
HM023	1	0	0
HM024	0.779	0.034	0.187
HM026	0.848	0.139	0.013
HM027	0.913	0.028	0.059
HM028	0.972	0	0.027
HM031	0	0.918	0.082
HM032	0.001	0.507	0.492
HM033	0.774	0.127	0.099
HM034	0.876	0.095	0.03
HM036	0.955	0.001	0.045
HM037	0.924	0	0.076
HM038	0.046	0.761	0.193
HM039	0.908	0	0.091
HM040	0.999	0.001	0
HM041	0.799	0.101	0.1
HM042	0.914	0	0.086
HM043	0.957	0.005	0.038
HM044	1	0	0
HM045	1	0	0
HM046	0.292	0.677	0.031
HM047	0.452	0.547	0
HM048	0.939	0.038	0.023
HM049	0.985	0.005	0.009
HM050	0.992	0	0.008
HM051	0	0.152	0.848
HM052	0.395	0.581	0.023
HM053	0.965	0.004	0.032
HM054	0.032	0.943	0.025
HM055	0.063	0.856	0.081
HM056	0.296	0.648	0.056
HM057	0	0.982	0.018
HM058	0.1	0.767	0.133
HM059	0.735	0.253	0.012
HM060	0.88	0.097	0.023
HM061	0.975	0	0.025
HM062	0.832	0	0.168
HM063	0.007	0.697	0.296
HM064	0.529	0.358	0.113
HM065	0.017	0.983	0
HM066	0.92	0	0.08
HM067	0.39	0.44	0.17
HM068	0	0.287	0.713
HM069	0.906	0	0.094
HM071	0.235	0.528	0.237
HM072	0.847	0.064	0.089
HM073	0.189	0	0.811
HM074	0.768	0.097	0.136
HM075	0.78	0.219	0.001
HM077	0.982	0	0.018
HM078	0.991	0	0.009
HM079	0.87	0.112	0.018
HM081	0.077	0.912	0.012
HM082	0.423	0.577	0
HM083	0.428	0.572	0
HM084	0.646	0	0.354
HM085	0.038	0.951	0.011
HM086	0.059	0.941	0
HM087	0.077	0.907	0.015
HM088	0.056	0.944	0.001
HM089	0	0.797	0.202
HM091	0.605	0.163	0.233
HM092	0.056	0.915	0.029
HM093	0.032	0.968	0
HM095	0.816	0.064	0.12
HM096	0.637	0.014	0.349
HM097	0.703	0.242	0.055
HM098	0.57	0.255	0.175
HM099	0.924	0	0.076
HM101	0.078	0.922	0
HM106	1	0	0
HM107	0.895	0.105	0
HM108	0.98	0	0.02
HM109	0.985	0	0.015
HM112	0.922	0	0.078
HM114	0.965	0.023	0.012
HM115	0.848	0	0.152
HM117	0.075	0.824	0.101
HM118	0.107	0.852	0.04
HM119	0	0.983	0.017
HM120	0.114	0.794	0.092
HM121	0	0.882	0.118
HM122	0	0.909	0.091
HM124	0.002	0.868	0.13
HM125	0.04	0.947	0.013
HM126	0.828	0.109	0.063
HM128	0.61	0.106	0.284
HM129	0.799	0.149	0.053
HM134	0.916	0.075	0.009
HM135	1	0	0
HM138	0.945	0.042	0.014
HM139	0	0.901	0.099
HM141	0.982	0	0.018
HM145	0.847	0	0.153
HM146	1	0	0
HM147	0.994	0	0.006
HM149	0.983	0.017	0
HM150	1	0	0
HM151	0.996	0	0.004
HM152	0	1	0
HM153	0.974	0.021	0.005
HM154	0	0.998	0.002
HM155	0	1	0
HM156	1	0	0
HM157	1	0	0
HM159	0.886	0.108	0.006
HM160	1	0	0
HM162	1	0	0
HM163	0.875	0.113	0.012
HM164	0.23	0.77	0
HM165	0.922	0.008	0.07
HM166	1	0	0
HM167	1	0	0
HM168	0.05	0.95	0
HM169	0.026	0.974	0
HM170	0.103	0.884	0.013
HM172	0.012	0.988	0
HM173	0.013	0.987	0
HM175	0	1	0
HM176	0	1	0
HM177	0	1	0
HM178	0	1	0
HM179	0.031	0.969	0
HM181	0.062	0.938	0
HM183	0.887	0.113	0
HM184	0.835	0.165	0
HM185	0.894	0.106	0
HM186	1	0	0
HM187	0.999	0.001	0
HM188	0.999	0.001	0
HM189	0.001	0.999	0
HM190	0	0.826	0.174
HM191	0.745	0.203	0.052
HM192	0.953	0	0.047
HM193	0	0.958	0.042
HM194	0.924	0	0.076
HM195	0.927	0	0.073
HM196	0.967	0	0.033
HM197	0.817	0.081	0.102
HM198	0.977	0	0.023
HM199	0.992	0	0.008
HM200	0.977	0.001	0.022
HM201	0	0.852	0.148
HM202	0.058	0	0.941
HM203	0.985	0	0.014
HM205	0.04	0.821	0.139
HM207	0.907	0.003	0.09
HM209	0.819	0.011	0.17
HM211	0.986	0	0.014
HM213	0.986	0	0.013
HM214	0.983	0	0.017
HM217	1	0	0
HM218	0.995	0	0.005
HM220	0.381	0	0.619
HM222	0.977	0	0.023
HM223	0.825	0	0.175
HM224	0.762	0	0.238
HM225	1	0	0
HM226	0.78	0	0.219
HM227	0.987	0	0.013
HM229	0.916	0	0.084
HM230	0.962	0	0.038
HM231	0.694	0	0.306
HM232	0.975	0.001	0.025
HM233	0.754	0	0.246
HM234	0.902	0	0.098
HM235	0.903	0	0.097
HM236	0.869	0	0.131
HM237	0.668	0	0.332
HM238	0.999	0.001	0
HM239	1	0	0
HM240	0.722	0	0.278
HM241	0.958	0	0.042
HM242	1	0	0
HM243	0.999	0.001	0
HM244	0.97	0.001	0.03
HM245	0.982	0.01	0.007
HM253	0.472	0	0.528
HM256	0.064	0.877	0.059
HM262	0	0.808	0.192
HM267	0.768	0.175	0.058
HM268	0.618	0.002	0.38
HM269	0.672	0.038	0.29
HM270	0.095	0.883	0.022
HM271	0.151	0.806	0.043
HM276	0.09	0.778	0.132
HM277	0.068	0.784	0.148
HM279	0.382	0.473	0.145
HM287	0.854	0	0.146
HM288	0	0.903	0.097
HM289	0.792	0	0.208
HM297	0.852	0.105	0.043
HM298	0.445	0.484	0.071
HM299	0	0.941	0.059
HM301	0.91	0	0.09
HM302	0.975	0	0.025
HM304	0	0.826	0.174
HM305	0	0.97	0.03
HM306	0.423	0.503	0.074
HM307	0	0.928	0.072
HM308	0.32	0.408	0.272
HM309	0	0.946	0.054
HM310	0.977	0	0.022
HM311	0.041	0.781	0.177
HM313	0.88	0	0.12
HM314	0.943	0	0.057
HM315	0.884	0	0.116
HM316	0.911	0	0.088
