Taxa	RRG_Hg 	RRG_Cd	Cd_leaf	Hg_leaf	Hg_log2	Hg_log10
HM001	28.01	10.14	5.17	52.73	5.720552092	1.722057771
HM002	31.24	8.09	46.68	75.26	6.233811384	1.876564214
HM003	52.84	14.7	15.49	49.85	5.6395216	1.697665163
HM004	35.57	13.86	20.08	56.79	5.827565007	1.754271869
HM005	86.34	26.52	53.2	70.6	6.141596278	1.848804701
HM006	23.37	18.48	16.83	NA	NA	NA
HM009	47.98	23.73	13.57	42.08	5.3950628	1.624075731
HM010	49.01	17	13	41.05	5.359310317	1.613313161
HM011	50.13	50.59	25.27	51.95	5.699051844	1.715585552
HM012	33.88	55.73	44.66	NA	NA	NA
HM014	23.15	38	15.53	NA	NA	NA
HM015	49.76	45.97	NA	NA	NA	NA
HM016	47.01	19.43	1.91	NA	NA	NA
HM017	56.52	21.06	40.08	0.97	-0.043943348	-0.013228266
HM018	74.75	20.26	33.09	85.38	6.415826257	1.93135615
HM019	44.97	17.24	NA	NA	NA	NA
HM020	34.83	11.68	67.49	103.01	6.686640588	2.012879387
HM021	15.14	15.15	16.02	90.17	6.494575617	1.95506207
HM022	6.11	18.91	21.16	NA	NA	NA
HM023	30.74	33.6	35.73	91.23	6.511436412	1.960137675
HM024	12.34	17.47	10.42	110.73	6.790902333	2.0442653
HM025	7.16	17.03	30.5	78.11	6.287435356	1.892706638
HM027	9.38	12.15	65.68	121.74	6.927659461	2.085433297
HM028	9.72	11.32	28.63	89.53	6.484299281	1.951968584
HM029	17.25	13.54	39.36	133.05	7.0558247	2.124014879
HM030	12.79	12.21	17.36	NA	NA	NA
HM031	48.1	16.69	19.74	62.83	5.973381675	1.79816706
HM032	15.02	16.57	57.29	59.82	5.902556005	1.776846409
HM033	16.19	31.51	37.41	76.98	6.266411766	1.886377907
HM034	18	12.42	18.43	73.76	6.204766751	1.867820908
HM036	28.75	17.61	13.45	54.71	5.773732651	1.738066715
HM037	23.75	15.1	37.34	62.2	5.958842675	1.793790385
HM038	20.55	10.84	27.15	75.18	6.23227701	1.876102321
HM039	40.06	12.03	27.76	46.07	5.525755693	1.663418212
HM040	21.46	25.92	18.12	42.15	5.397460726	1.624797579
HM041	52.7	13.95	38.49	86.2	6.429615964	1.935507266
HM042	48.47	10.49	41.41	74.64	6.221877081	1.872971631
HM044	63.56	10	23.04	74.33	6.215872703	1.871164133
HM045	26.5	11.29	40.45	89.39	6.482041542	1.951288937
HM046	31.65	24.84	34.12	234.52	7.873567152	2.370179886
HM047	11.12	21.35	NA	220.18	7.782539618	2.342777867
HM048	14.97	15.81	25.76	107.43	6.747253114	2.031125576
HM049	49.62	20.36	22.68	147.97	7.209160898	2.170173674
HM050	32.92	30.43	18.72	NA	NA	NA
HM053	39.18	27	33.33	92.13	6.525599108	1.964401071
HM054	28.43	8.69	67.44	162.88	7.347665656	2.211867761
HM055	46.44	14.26	12.71	82.31	6.362995812	1.915452602
HM056	33.33	17.65	22.87	96.1	6.586464526	1.982723388
HM057	63.44	18.28	28.45	102.03	6.672849602	2.008727887
HM058	37.07	25.87	30.34	135.4	7.081083929	2.131618664
HM060	10.25	11.14	34.97	57.86	5.854494418	1.762378429
HM061	29.38	13.49	23.86	71.29	6.155627816	1.853028615
HM062	32.71	14.47	38.12	63.59	5.990728004	1.803388825
HM063	5.411	15.6	28.8	320.2	8.322829498	2.505421328
HM065	21.5	14.57	15.37	53.97	5.754085782	1.732152418
HM066	19.15	6.95	31.45	29.81	4.89772447	1.474361976
HM067	28.98	25.2	23.08	180.55	7.49625461	2.256597493
HM068	26.12	18.75	30.43	246.05	7.942807706	2.391023369
HM069	24.16	7.54	13.2	118.03	6.88300979	2.071992407
HM071	67.83	29.7	34.84	NA	NA	NA
HM072	54.78	17.46	17.01	55.51	5.794675788	1.744371227
HM073	14.72	14.64	38.32	348.23	8.443896686	2.541866183
HM074	47.45	17.82	35.47	61.66	5.946262984	1.79000352
HM075	22.83	17.24	84.94	77.95	6.284477118	1.89181612
HM076	27	NA	NA	NA	NA	NA
HM077	37	19	52.62	48.15	5.589463893	1.682596291
HM078	34	13	39.49	47.78	5.578334949	1.679246145
HM079	31	21	16.71	119.34	6.898933872	2.076786034
HM080	92	14	19.45	57.82	5.853496704	1.762078087
HM081	99.39	28.61	13.84	360.09	8.492213725	2.556411061
HM082	47.96	12.89	4.67	61.81	5.94976836	1.791058744
HM083	24.91	15.2	4.1	77.13	6.269220206	1.887223331
HM084	64.78	15.92	26.94	NA	NA	NA
HM085	34.15	8.67	11.49	44.65	5.48058827	1.649821463
HM086	47.29	10.64	10.1	NA	NA	NA
HM087	39.55	12.27	49.48	46.58	5.541638734	1.668199484
HM089	43.83	16.59	21.55	20.93	4.387500406	1.320769228
HM091	52.06	15.09	8.94	44.36	5.47118746	1.646991537
HM092	49.75	34.17	17.49	230.46	7.848372559	2.362595558
HM093	65.76	22.5	38.08	56.3	5.815063017	1.750508395
HM095	36.06	13.85	58.47	40.06	5.324090516	1.602710945
HM096	47.54	22.22	30.36	290.75	8.183635381	2.463519723
HM097	29.37	21.37	22.85	314.45	8.296686825	2.497551599
HM098	29.79	21.65	20.07	335.73	8.391157648	2.52599015
HM099	27.1	9.92	17.47	484.12	8.919220886	2.684953025
HM101	43.79	13.66	45.43	197.14	7.623076721	2.294774752
HM106	28.95	10.46	59.99	64.29	6.006522446	1.808143426
HM107	44.8	20.21	NA	NA	NA	NA
HM108	38.97	21.65	29.76	43.48	5.442280035	1.638289535
HM109	26.29	12.37	27.97	39.38	5.299391206	1.595275712
HM112	33.56	11.15	51.55	128.64	7.007195501	2.109376031
HM114	15.73	9.36	17.85	87.26	6.447248569	1.940815209
HM115	39.74	10.29	17.81	26.58	4.7322692	1.424554977
HM117	36.07	12.62	21.06	40.92	5.35473424	1.611935625
HM118	25.81	11.68	26.7	51.64	5.690417096	1.712986234
HM119	52.33	25.41	26.62	42.5	5.409390936	1.62838893
HM120	43.76	15.56	32.86	27.83	4.798569004	1.444513206
HM121	67.61	27.39	35.93	41.36	5.370164281	1.61658053
HM122	48.03	34.8	48.54	47.36	5.565597176	1.675411694
HM124	37.01	21.65	31.48	60.43	5.917193037	1.781252594
HM125	28.33	15.43	50.93	54.81	5.77636723	1.738859802
HM126	23.38	19.78	29.38	29.94	4.904002316	1.476251796
HM128	13.66	28.2	15.76	104.87	6.712458217	2.020651268
HM129	NA	NA	38.85	210.55	7.718019065	2.323355246
HM134	36.14	8.84	9.9	51.95	5.699051844	1.715585552
HM135	33.45	13.82	27.53	45.08	5.49441561	1.653983907
HM139	55.36	22.1	28.86	42.36	5.404630684	1.626955951
HM141	34.81	16.7	32.34	86.37	6.432458385	1.93636292
HM145	33.31	14.71	39.01	42.43	5.407012774	1.627673032
HM146	26.31	9.01	44.54	100.49	6.650908132	2.002122846
HM147	18	12.39	25.29	99.38	6.634883637	1.997298992
HM149	26.13	15.33	43.79	66.01	6.044612693	1.819609733
HM150	20.44	11.39	9.26	15.7	3.972692654	1.195899652
HM151	28.95	14.12	6.49	45.61	5.511278265	1.659060072
HM152	40.67	28.71	15.8	137.48	7.103077947	2.138239523
HM153	28.63	35.58	21.39	69.65	6.122051448	1.842921121
HM154	26.03	21.42	28.06	NA	NA	NA
HM155	34.41	13.92	47.73	65.93	6.042863176	1.819083076
HM156	21.87	10.86	58	103.8	6.697662633	2.016197354
HM157	22.69	10.86	44.15	48.76	5.607626221	1.688063697
HM159	22.33	9.64	36	46.19	5.529508641	1.664547962
HM160	29.4	11.37	26.86	41.2	5.364572432	1.614897216
HM162	16.59	7.85	43.21	111.16	6.796493929	2.045948538
HM163	23.84	10.32	56.06	NA	NA	NA
HM164	17.06	11.28	41.83	162.04	7.34020618	2.209622235
HM165	16.13	12.02	27.24	344.32	8.427606173	2.53696225
HM166	17.61	13.91	24.52	312.07	8.285725864	2.494252021
HM167	32.46	15.35	30.45	62.18	5.958378712	1.793650718
HM168	58.81	15.28	36.66	37.03	5.210622644	1.568553712
HM169	41.76	21.22	34.15	32.53	5.023698917	1.512284063
HM170	57.05	19.76	61	78.31	6.291124643	1.893817224
HM172	20.75	18.55	16.88	77.18	6.270155139	1.887504774
HM173	51.01	18	55.42	19.91	4.315421316	1.29907126
HM175	89.96	30.82	30.27	135.07	7.077563467	2.1305589
HM176	69.92	21.24	67.57	21.36	4.416839742	1.329601248
HM177	29.27	12.06	25.96	44.45	5.474111514	1.647871765
HM178	20.02	14.06	20.87	23.74	4.56924803	1.375480715
HM179	24.73	15.17	58.22	39.41	5.300489844	1.595606435
HM181	25.37	18.4	22.91	100.15	6.646018611	2.000650954
HM183	34.45	13.03	42.66	NA	NA	NA
HM184	29.2	10.02	33.68	101.34	6.663059924	2.0057809
HM185	30.08	5.53	13.46	109.66	6.776893569	2.040048242
HM186	30.59	8.05	35.11	78.21	6.289281178	1.893262286
HM187	7.5	3.08	23.54	72.95	6.188836073	1.863025296
HM188	31.33	8.05	14.55	68.47	6.097400107	1.835500328
HM189	33.51	14.6	53.34	28.46	4.830863757	1.454234896
HM190	26.42	18.35	95.07	NA	NA	NA
HM191	36.25	14.14	49.38	119.08	6.895787316	2.075838826
HM192	38.38	8.2	28.11	130.08	7.023255352	2.114210528
HM194	36.12	14.2	12.37	38.22	5.256255873	1.582290683
HM195	49.4	17.71	6.89	41.45	5.373300197	1.617524535
HM196	49.46	24.2	73.19	388.71	8.602550413	2.589625713
HM197	41.37	14.8	34.94	268.09	8.066573596	2.428280615
HM198	40.42	13.59	11.47	51.68	5.691534165	1.713322505
HM199	NA	NA	12.71	31.23	4.964860664	1.494571984
HM200	10.23	32.74	19.6	NA	NA	NA
